"","date","item","count","sales_cat","semester","menu_condition","station","item_cat","station_type","meal_period","ind_carbon_cost","ind_water_cost","ind_dollar_cost","corr_carbon_cost","corr_water_cost","corr_dollar_cost"
"1","16-Oct","Quesadilla Deluxe Trillium",140,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch",NA,NA,NA,NA,NA,NA
"2","16-Oct","Grilled Hamburger",91,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",3.88121217461521,88.8793607464882,8.99,353.190307889984,8088.02182793042,818.09
"3","16-Oct","Fried Chicken Tenders",92,"Grab N Go","Fall 2024","Control","Grab N Go","Side","Satellite","Lunch",NA,NA,NA,NA,NA,NA
"4","16-Oct","Burrito Una Mano Trillium BYO",62,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch",NA,NA,NA,NA,NA,NA
"5","16-Oct","French Fries",113,"Grill","Fall 2024","Control","Grill","Side","Treatment","Lunch",0.040840402892853,2.72997334161235,2.99,4.61496552689239,308.486987602196,337.87
"6","16-Oct","Quesadilla Cheese",35,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch",NA,NA,NA,NA,NA,NA
"7","16-Oct","Grilled Chicken Breast Sandwich",14,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.301553745597932,69.470648861248,8.49,4.22175243837104,972.589084057471,118.86
"8","16-Oct","Seared Salmon Burger",9,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.447926073918026,44.697222176261,8.49,4.03133466526223,402.274999586349,76.41
"9","16-Oct","Trillium Grill Impossible Burger",7,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.210911088099112,23.2535935181063,10.49,1.47637761669378,162.775154626744,73.43
"10","16-Oct","Sweet Potato Fries",21,"Grill","Fall 2024","Control","Grill","Side","Treatment","Lunch",0.0422551714366103,3.97622481710592,2.99,0.887358600168816,83.5007211592243,62.79
"11","16-Oct","+ Beef Patty",13,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch",3.806907508554,79.8564119237622,2.99,49.489797611202,1038.13335500891,38.87
"12","16-Oct","Black Bean Burger",2,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.110944712328442,54.9888227801748,8.69,0.221889424656883,109.97764556035,17.38
"13","16-Oct","Add Impossible Burger Patty",1,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch",0.151541244844319,13.0180456460107,2.99,0.151541244844319,13.0180456460107,2.99
"14","16-Oct","Add Egg .99",6,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch",0.0903881853779601,25.3348662383603,0.99,0.542329112267761,152.009197430162,5.94
"15","16-Oct","ADD Cheese",9,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch",0.183611306606629,3.19881943989712,1.99,1.65250175945966,28.7893749590741,17.91
"16","16-Oct","Add Sausage 2 Patty",2,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch",0.168918026814813,34.6406776822533,1.99,0.337836053629626,69.2813553645066,3.98
