"","date","item","count","sales_cat","semester","menu_condition","station","item_cat","station_type","meal_period"
"1","16-Oct","Quesadilla Deluxe Trillium",140,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch"
"2","16-Oct","Grilled Hamburger",91,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"3","16-Oct","Fried Chicken Tenders",92,"Grab N Go","Fall 2024","Control","Grab N Go","Side","Satellite","Lunch"
"4","16-Oct","Burrito Una Mano Trillium BYO",62,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch"
"5","16-Oct","French Fries",113,"Grill","Fall 2024","Control","Grill","Side","Treatment","Lunch"
"6","16-Oct","Quesadilla Cheese",35,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch"
"7","16-Oct","Grilled Chicken Breast Sandwich",14,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"8","16-Oct","Seared Salmon Burger",9,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"9","16-Oct","Trillium Grill Impossible Burger",7,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"10","16-Oct","Sweet Potato Fries",21,"Grill","Fall 2024","Control","Grill","Side","Treatment","Lunch"
"11","16-Oct","+ Beef Patty",13,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"12","16-Oct","Black Bean Burger",2,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"13","16-Oct","Add Impossible Burger Patty",1,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"14","16-Oct","Add Egg .99",6,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"15","16-Oct","ADD Cheese",9,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"16","16-Oct","Add Sausage 2 Patty",2,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"17","16-Oct","ADD Burger Salmon Grilled",1,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"18","16-Oct","1 Entree + 1 Side",206,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"19","16-Oct","1 Entree + 2 Side",79,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"20","16-Oct","Bowl Ramen Chicken",83,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch"
"21","16-Oct","2 Entrees + 2 Sides",20,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"22","16-Oct","Bowl Ramen Tofu",16,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch"
"23","16-Oct","Bowl Ramen Chicken",5,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch"
"24","16-Oct","Side Vegetarian Lo Mein",6,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"25","16-Oct","Side Fried Spring Roll",4,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"26","16-Oct","Side White or Brown Rice",4,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
