date,item,count,sales_cat,semester,menu_condition
16-Oct,Quesadilla Deluxe Trillium,140,Grill,Fall 2024,Control
16-Oct,Grilled Hamburger,91,Grill,Fall 2024,Control
16-Oct,Fried Chicken Tenders,92,Grill,Fall 2024,Control
16-Oct,Burrito Una Mano Trillium BYO,62,Grill,Fall 2024,Control
16-Oct,French Fries,113,Grill,Fall 2024,Control
16-Oct,Quesadilla Cheese,35,Grill,Fall 2024,Control
16-Oct,Grilled Chicken Breast Sandwich,14,Grill,Fall 2024,Control
16-Oct,Seared Salmon Burger,9,Grill,Fall 2024,Control
16-Oct,Trillium Grill Impossible Burger,7,Grill,Fall 2024,Control
16-Oct,Sweet Potato Fries,21,Grill,Fall 2024,Control
16-Oct,ADD Beef Patty $2.99,13,Grill,Fall 2024,Control
16-Oct,Black Bean Burger,2,Grill,Fall 2024,Control
16-Oct,Add Impossible Burger Patty,1,Grill,Fall 2024,Control
16-Oct,Add Egg $.99,6,Grill,Fall 2024,Control
16-Oct,ADD Cheese,9,Grill,Fall 2024,Control
16-Oct,Add Sausage 2 Patty,2,Grill,Fall 2024,Control
16-Oct,ADD Burger Salmon Grilled,1,Grill,Fall 2024,Control
16-Oct,1 Entree + 1 Side,206,Asian,Fall 2024,Control
16-Oct,1 Entree + 2 Side,79,Asian,Fall 2024,Control
16-Oct,Bowl Ramen Chicken,83,Asian,Fall 2024,Control
16-Oct,2 Entrees + 2 Sides,20,Asian,Fall 2024,Control
16-Oct,Bowl Ramen Tofu,16,Asian,Fall 2024,Control
16-Oct,Bowl Ramen Pork,5,Asian,Fall 2024,Control
16-Oct,Side Vegetarian Lo Mein,6,Asian,Fall 2024,Control
16-Oct,Side Fried Spring Roll,4,Asian,Fall 2024,Control
16-Oct,Side White or Brown Rice,4,Asian,Fall 2024,Control
16-Oct,Side Vegetable Spring Rolls,2,Asian,Fall 2024,Control
16-Oct,1 Wok Entree,1,Asian,Fall 2024,Control
16-Oct,Side Vegetables,1,Asian,Fall 2024,Control
16-Oct,Side Vegetarian Fried Rice with,1,Asian,Fall 2024,Control
16-Oct,Create Your Pasta Bowl MEAT,149,Italian,Fall 2024,Control
16-Oct,Create Your Pasta Bowl VEG,24,Italian,Fall 2024,Control
16-Oct,Pizza Cheese,28,Italian,Fall 2024,Control
16-Oct,Add Extra Meat,34,Italian,Fall 2024,Control
16-Oct,Pizza with Toppings,16,Italian,Fall 2024,Control
16-Oct,Side Bread Pasta Station,2,Italian,Fall 2024,Control
16-Oct,Burrito Breakfast,87,Breakfast,Fall 2024,Control
16-Oct,Small French Omelet,53,Breakfast,Fall 2024,Control
16-Oct,Egg Cheese Sausage Breakfast San,34,Breakfast,Fall 2024,Control
16-Oct,Egg Cheese Bacon Breakfast Sandw,26,Breakfast,Fall 2024,Control
16-Oct,Grand Slam Breakfast,9,Breakfast,Fall 2024,Control
16-Oct,Add Bacon,26,Breakfast,Fall 2024,Control
16-Oct,Two Eggs,10,Breakfast,Fall 2024,Control
16-Oct,Pancake Single,4,Breakfast,Fall 2024,Control
16-Oct,2 Slices Toast,4,Breakfast,Fall 2024,Control
16-Oct,Trillium Home Fries,1,Breakfast,Fall 2024,Control
16-Oct,Burrito Bowl BYO,105,Mexican,Fall 2024,Control
16-Oct,Single Taco,3,Mexican,Fall 2024,Control
16-Oct,Side Sour Cream,1,Mexican,Fall 2024,Control
16-Oct,Salad by the Pound,79,Salad Bar,Fall 2024,Control
16-Oct,Add Extra Protein $2.99,1,Salad Bar,Fall 2024,Control
16-Oct,Soup 12 oz,67,Soup,Fall 2024,Control
16-Oct,8 oz Soup,60,Soup,Fall 2024,Control
16-Oct,Side Potato Tots,12,Grab N Go,Fall 2024,Control
17-Oct,Quesadilla Deluxe Trillium,159,Grill,Fall 2024,Control
17-Oct,Grilled Hamburger,109,Grill,Fall 2024,Control
17-Oct,Fried Chicken Tenders,109,Grill,Fall 2024,Control
17-Oct,Burrito Una Mano Trillium BYO,51,Grill,Fall 2024,Control
17-Oct,French Fries,136,Grill,Fall 2024,Control
17-Oct,Grilled Chicken Breast Sandwich,22,Grill,Fall 2024,Control
17-Oct,Trillium Grill Impossible Burger,12,Grill,Fall 2024,Control
17-Oct,Quesadilla Cheese,13,Grill,Fall 2024,Control
