date,time,count,menu_condition
21-Jan,10:00 AM,30,Control
21-Jan,10:15 AM,32,Control
21-Jan,10:30 AM,8,Control
21-Jan,10:45 AM,14,Control
21-Jan,11:00 AM,90,Control
21-Jan,11:15 AM,114,Control
21-Jan,11:30 AM,149,Control
21-Jan,11:45 AM,121,Control
21-Jan,12:00 PM,111,Control
21-Jan,12:15 PM,85,Control
21-Jan,12:30 PM,90,Control
21-Jan,12:45 PM,156,Control
21-Jan,1:00 PM,205,Control
21-Jan,1:15 PM,150,Control
21-Jan,1:30 PM,93,Control
21-Jan,1:45 PM,34,Control
21-Jan,2:00 PM,36,Control
21-Jan,2:15 PM,41,Control
21-Jan,2:30 PM,41,Control
21-Jan,2:45 PM,40,Control
21-Jan,3:00 PM,9,Control
21-Jan,8:00 AM,9,Control
21-Jan,8:15 AM,19,Control
21-Jan,8:30 AM,7,Control
21-Jan,8:45 AM,30,Control
21-Jan,9:00 AM,28,Control
21-Jan,9:15 AM,23,Control
21-Jan,9:30 AM,31,Control
21-Jan,9:45 AM,26,Control
22-Jan,10:00 AM,48,Control
22-Jan,10:15 AM,28,Control
22-Jan,10:30 AM,11,Control
22-Jan,10:45 AM,25,Control
22-Jan,11:00 AM,124,Control
22-Jan,11:15 AM,129,Control
22-Jan,11:30 AM,119,Control
22-Jan,11:45 AM,74,Control
22-Jan,12:00 PM,109,Control
22-Jan,12:15 PM,193,Control
22-Jan,12:30 PM,151,Control
22-Jan,12:45 PM,138,Control
22-Jan,1:00 PM,147,Control
22-Jan,1:15 PM,105,Control
22-Jan,1:30 PM,62,Control
22-Jan,1:45 PM,26,Control
22-Jan,2:00 PM,31,Control
22-Jan,2:15 PM,72,Control
22-Jan,2:30 PM,35,Control
22-Jan,2:45 PM,19,Control
22-Jan,3:00 PM,6,Control
22-Jan,7:30 AM,1,Control
22-Jan,7:45 AM,1,Control
22-Jan,8:00 AM,4,Control
22-Jan,8:15 AM,9,Control
22-Jan,8:30 AM,24,Control
22-Jan,8:45 AM,31,Control
22-Jan,9:00 AM,21,Control
22-Jan,9:15 AM,29,Control
22-Jan,9:30 AM,29,Control
22-Jan,9:45 AM,48,Control
23-Jan,10:00 AM,29,Control
23-Jan,10:15 AM,30,Control
