"","date","item","count","sales_cat","semester","menu_condition","station","item_cat","station_type","meal_period","ind_carbon_cost","ind_water_cost","ind_dollar_cost","corr_carbon_cost","corr_water_cost","corr_dollar_cost"
"1","16-Oct","Grilled Hamburger",91,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",3.88121217461521,88.8793607464882,8.99,353.190307889984,8088.02182793042,818.09
"2","16-Oct","Grilled Chicken Breast Sandwich",14,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.301553745597932,69.470648861248,8.49,4.22175243837104,972.589084057471,118.86
"3","16-Oct","Seared Salmon Burger",9,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.447926073918026,44.697222176261,8.49,4.03133466526223,402.274999586349,76.41
"4","16-Oct","Trillium Grill Impossible Burger",7,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.210911088099112,23.2535935181063,10.49,1.47637761669378,162.775154626744,73.43
"5","16-Oct","Black Bean Burger",2,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.110944712328442,54.9888227801748,8.69,0.221889424656883,109.97764556035,17.38
"6","16-Oct","Bowl Ramen Chicken",83,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch",0.379685915053077,104.607642341871,9.49,31.5139309494054,8682.43431437533,787.67
"7","16-Oct","Bowl Ramen Tofu",16,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch",0.306509419979168,91.9886822989085,9.49,4.90415071966669,1471.81891678254,151.84
"8","16-Oct","Bowl Ramen Chicken",5,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch",0.379685915053077,104.607642341871,9.49,1.89842957526538,523.038211709357,47.45
"9","16-Oct","Create Your Pasta Bowl MEAT",149,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch",0.625595496853921,47.8385188473692,8.99,93.2137290312343,7127.93930825801,1339.51
"10","16-Oct","Create Your Pasta Bowl VEG",24,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch",0.140294556536554,10.5521527214029,8.49,3.3670693568773,253.251665313668,203.76
"11","17-Oct","Grilled Hamburger",109,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",3.88121217461521,88.8793607464882,8.99,423.052127033058,9687.85032136721,979.91
"12","17-Oct","Grilled Chicken Breast Sandwich",22,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.301553745597932,69.470648861248,8.49,6.6341824031545,1528.35427494746,186.78
"13","17-Oct","Trillium Grill Impossible Burger",12,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.210911088099112,23.2535935181063,10.49,2.53093305718934,279.043122217276,125.88
"14","17-Oct","Seared Salmon Burger",9,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.447926073918026,44.697222176261,8.49,4.03133466526223,402.274999586349,76.41
"15","17-Oct","Black Bean Burger",1,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.110944712328442,54.9888227801748,8.69,0.110944712328442,54.9888227801748,8.69
"16","17-Oct","Bowl Ramen Chicken",68,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch",0.379685915053077,104.607642341871,9.49,25.8186422236092,7113.31967924726,645.32
"17","17-Oct","Bowl Ramen Tofu",14,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch",0.306509419979168,91.9886822989085,9.49,4.29113187970835,1287.84155218472,132.86
"18","17-Oct","Create Your Pasta Bowl MEAT",128,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch",0.625595496853921,47.8385188473692,8.99,80.0762235973019,6123.33041246326,1150.72
"19","17-Oct","Create Your Pasta Bowl VEG",33,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch",0.140294556536554,10.5521527214029,8.49,4.62972036570628,348.221039806294,280.17
"20","18-Oct","Grilled Hamburger",66,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",3.88121217461521,88.8793607464882,8.99,256.160003524604,5866.03780926822,593.34
"21","18-Oct","Grilled Chicken Breast Sandwich",11,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.301553745597932,69.470648861248,8.49,3.31709120157725,764.177137473728,93.39
"22","18-Oct","Seared Salmon Burger",8,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.447926073918026,44.697222176261,8.49,3.5834085913442,357.577777410088,67.92
"23","18-Oct","Trillium Grill Impossible Burger",2,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.210911088099112,23.2535935181063,10.49,0.421822176198224,46.5071870362126,20.98
"24","18-Oct","Black Bean Burger",2,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.110944712328442,54.9888227801748,8.69,0.221889424656883,109.97764556035,17.38
"25","18-Oct","Bowl Ramen Chicken",44,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch",0.379685915053077,104.607642341871,9.49,16.7061802623354,4602.73626304235,417.56
"26","18-Oct","Bowl Ramen Tofu",21,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch",0.306509419979168,91.9886822989085,9.49,6.43669781956253,1931.76232827708,199.29
"27","18-Oct","Create Your Pasta Bowl MEAT",83,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch",0.625595496853921,47.8385188473692,8.99,51.9244262388755,3970.59706433164,746.17
"28","18-Oct","Create Your Pasta Bowl VEG",13,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch",0.140294556536554,10.5521527214029,8.49,1.8238292349752,137.177985378237,110.37
"29","21-Oct","Grilled Hamburger",105,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",3.88121217461521,88.8793607464882,8.99,407.527278334597,9332.33287838126,943.95
"30","21-Oct","Grilled Chicken Breast Sandwich",18,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.301553745597932,69.470648861248,8.49,5.42796742076277,1250.47167950246,152.82
"31","21-Oct","Seared Salmon Burger",11,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.447926073918026,44.697222176261,8.49,4.92718681309828,491.66944393887,93.39
"32","21-Oct","Trillium Grill Impossible Burger",8,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.210911088099112,23.2535935181063,10.49,1.68728870479289,186.02874814485,83.92
"33","21-Oct","Black Bean Burger",1,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.110944712328442,54.9888227801748,8.69,0.110944712328442,54.9888227801748,8.69
"34","21-Oct","Bowl Ramen Chicken",71,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch",0.379685915053077,104.607642341871,9.49,26.9576999687685,7427.14260627288,673.79
"35","21-Oct","Bowl Ramen Tofu",14,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch",0.306509419979168,91.9886822989085,9.49,4.29113187970835,1287.84155218472,132.86
"36","21-Oct","Create Your Pasta Bowl MEAT",124,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch",0.625595496853921,47.8385188473692,8.99,77.5738416098862,5931.97633707378,1114.76
"37","21-Oct","Create Your Pasta Bowl VEG",37,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch",0.140294556536554,10.5521527214029,8.49,5.1908985918525,390.429650691906,314.13
"38","22-Oct","Grilled Hamburger",127,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",3.88121217461521,88.8793607464882,8.99,492.913946176131,11287.678814804,1141.73
