"","Eatery.Name","Hour","X15.Minutes","Business.Date","Transactions"
"1","Trillium",8,"00-14","08/21/2023",1
"2","Trillium",8,"00-14","08/21/2023",3
"3","Trillium",8,"00-14","08/21/2023",4
"4","Trillium",8,"15-29","08/21/2023",7
"5","Trillium",8,"15-29","08/21/2023",1
"6","Trillium",8,"15-29","08/21/2023",1
"7","Trillium",8,"15-29","08/21/2023",15
"8","Trillium",8,"30-44","08/21/2023",5
"9","Trillium",8,"30-44","08/21/2023",2
"10","Trillium",8,"30-44","08/21/2023",14
"11","Trillium",8,"45-59","08/21/2023",11
"12","Trillium",8,"45-59","08/21/2023",1
"13","Trillium",9,"00-14","08/21/2023",16
"14","Trillium",9,"00-14","08/21/2023",1
"15","Trillium",9,"00-14","08/21/2023",1
"16","Trillium",9,"00-14","08/21/2023",7
"17","Trillium",9,"15-29","08/21/2023",5
"18","Trillium",9,"15-29","08/21/2023",15
"19","Trillium",9,"30-44","08/21/2023",9
"20","Trillium",9,"30-44","08/21/2023",1
"21","Trillium",9,"30-44","08/21/2023",3
"22","Trillium",9,"30-44","08/21/2023",15
"23","Trillium",9,"45-59","08/21/2023",20
"24","Trillium",9,"45-59","08/21/2023",1
"25","Trillium",9,"45-59","08/21/2023",28
"26","Trillium",10,"00-14","08/21/2023",19
"27","Trillium",10,"00-14","08/21/2023",1
"28","Trillium",10,"00-14","08/21/2023",27
"29","Trillium",10,"15-29","08/21/2023",13
"30","Trillium",10,"15-29","08/21/2023",22
"31","Trillium",10,"30-44","08/21/2023",12
"32","Trillium",10,"30-44","08/21/2023",6
"33","Trillium",10,"45-59","08/21/2023",6
"34","Trillium",10,"45-59","08/21/2023",1
"35","Trillium",10,"45-59","08/21/2023",15
"36","Trillium",11,"00-14","08/21/2023",45
"37","Trillium",11,"00-14","08/21/2023",1
"38","Trillium",11,"00-14","08/21/2023",86
"39","Trillium",11,"15-29","08/21/2023",31
"40","Trillium",11,"15-29","08/21/2023",1
"41","Trillium",11,"15-29","08/21/2023",94
"42","Trillium",11,"30-44","08/21/2023",55
"43","Trillium",11,"30-44","08/21/2023",1
"44","Trillium",11,"30-44","08/21/2023",5
"45","Trillium",11,"30-44","08/21/2023",68
"46","Trillium",11,"45-59","08/21/2023",1
"47","Trillium",11,"45-59","08/21/2023",60
"48","Trillium",11,"45-59","08/21/2023",7
"49","Trillium",11,"45-59","08/21/2023",58
"50","Trillium",12,"00-14","08/21/2023",59
"51","Trillium",12,"00-14","08/21/2023",1
"52","Trillium",12,"00-14","08/21/2023",4
"53","Trillium",12,"00-14","08/21/2023",107
"54","Trillium",12,"15-29","08/21/2023",65
"55","Trillium",12,"15-29","08/21/2023",2
"56","Trillium",12,"15-29","08/21/2023",115
"57","Trillium",12,"30-44","08/21/2023",57
"58","Trillium",12,"30-44","08/21/2023",8
"59","Trillium",12,"30-44","08/21/2023",98
"60","Trillium",12,"45-59","08/21/2023",57
"61","Trillium",12,"45-59","08/21/2023",3
"62","Trillium",12,"45-59","08/21/2023",97
"63","Trillium",13,"00-14","08/21/2023",51
"64","Trillium",13,"00-14","08/21/2023",3
"65","Trillium",13,"00-14","08/21/2023",6
"66","Trillium",13,"00-14","08/21/2023",60
"67","Trillium",13,"15-29","08/21/2023",1
"68","Trillium",13,"15-29","08/21/2023",46
"69","Trillium",13,"15-29","08/21/2023",4
"70","Trillium",13,"15-29","08/21/2023",86
"71","Trillium",13,"30-44","08/21/2023",1
"72","Trillium",13,"30-44","08/21/2023",42
"73","Trillium",13,"30-44","08/21/2023",4
"74","Trillium",13,"30-44","08/21/2023",4
"75","Trillium",13,"30-44","08/21/2023",72
"76","Trillium",13,"45-59","08/21/2023",31
"77","Trillium",13,"45-59","08/21/2023",1
"78","Trillium",13,"45-59","08/21/2023",3
"79","Trillium",13,"45-59","08/21/2023",35
"80","Trillium",14,"00-14","08/21/2023",13
"81","Trillium",14,"00-14","08/21/2023",5
"82","Trillium",14,"00-14","08/21/2023",19
"83","Trillium",14,"15-29","08/21/2023",20
"84","Trillium",14,"15-29","08/21/2023",3
"85","Trillium",14,"15-29","08/21/2023",34
"86","Trillium",14,"30-44","08/21/2023",16
"87","Trillium",14,"30-44","08/21/2023",1
"88","Trillium",14,"30-44","08/21/2023",36
"89","Trillium",14,"45-59","08/21/2023",23
"90","Trillium",14,"45-59","08/21/2023",18
"91","Trillium",15,"00-14","08/21/2023",5
"92","Trillium",15,"00-14","08/21/2023",2
"93","Trillium",15,"15-29","08/21/2023",1
"94","Trillium",8,"00-14","08/22/2023",1
"95","Trillium",8,"00-14","08/22/2023",2
"96","Trillium",8,"00-14","08/22/2023",13
"97","Trillium",8,"15-29","08/22/2023",5
"98","Trillium",8,"15-29","08/22/2023",1
"99","Trillium",8,"15-29","08/22/2023",21
"100","Trillium",8,"30-44","08/22/2023",3
"101","Trillium",8,"30-44","08/22/2023",1
"102","Trillium",8,"30-44","08/22/2023",13
"103","Trillium",8,"45-59","08/22/2023",4
"104","Trillium",8,"45-59","08/22/2023",3
"105","Trillium",8,"45-59","08/22/2023",3
"106","Trillium",9,"00-14","08/22/2023",5
"107","Trillium",9,"00-14","08/22/2023",1
"108","Trillium",9,"00-14","08/22/2023",8
"109","Trillium",9,"15-29","08/22/2023",9
"110","Trillium",9,"15-29","08/22/2023",1
"111","Trillium",9,"15-29","08/22/2023",2
"112","Trillium",9,"15-29","08/22/2023",7
"113","Trillium",9,"30-44","08/22/2023",7
"114","Trillium",9,"30-44","08/22/2023",29
"115","Trillium",9,"45-59","08/22/2023",8
"116","Trillium",9,"45-59","08/22/2023",3
"117","Trillium",9,"45-59","08/22/2023",34
"118","Trillium",10,"00-14","08/22/2023",16
"119","Trillium",10,"00-14","08/22/2023",1
"120","Trillium",10,"00-14","08/22/2023",30
"121","Trillium",10,"15-29","08/22/2023",14
"122","Trillium",10,"15-29","08/22/2023",1
"123","Trillium",10,"15-29","08/22/2023",21
