"","station","recipe","ingredient","listed_quantity","weight_oz","matched_ingredient","matched_ingredient_source","mean_kg_co2e_per_kg","mean_l_h2o_blue_per_kg","mean_l_h2o_green_per_kg","weight_kg","kg_co2e","l_h2o_blue","l_h2o_green","l_h2o_total"
"1","Grill","[CYO Grill Component] Burger","80/20 Beef Patty","5.33 Oz",5.33,"Beef","Animal-Sourced",25.19412968,528.4900653,1943.670156,0.15110295759,3.806907508554,79.8564119237622,293.694309151017,373.550721074779
"2","Grill","[CYO Grill Component] Burger","Ithaca Bakery Large Roll [Butter Grilled Roll]","1 Roll",1.764,"Wheat Bread","Plant-Sourced",0.614982159,166.2343333,2030.208394,0.050008558572,0.0307543713190865,8.31313939351042,101.527795384715,109.840934778225
"3","Grill","[CYO Grill Component] Burger","Salted Butter [Butter Grilled Roll]","5/8 Teaspoon",0.104,"Butter","Animal-Sourced",14.7710716,240.7479895,1018.921494,0.002948350392,0.0435502947421201,0.709809429215537,3.00413758625213,3.71394701546766
"4","Grill","[CYO Grill Component] Chicken Sandwich","5 Oz Bnls Skinles Chicken Breast","1 5 Oz Breast",5,"Chicken","Animal-Sourced",1.603195084,426.4459761,2698.938861,0.141747615,0.227249079536725,60.447700038522,382.568146577566,443.015846616088
"5","Grill","[CYO Grill Component] Chicken Sandwich","Ithaca Bakery Large Roll [Butter Grilled Roll]","1 Roll",1.764,"Wheat Bread","Plant-Sourced",0.614982159,166.2343333,2030.208394,0.050008558572,0.0307543713190865,8.31313939351042,101.527795384715,109.840934778225
"6","Grill","[CYO Grill Component] Chicken Sandwich","Salted Butter [Butter Grilled Roll]","5/8 Teaspoon",0.104,"Butter","Animal-Sourced",14.7710716,240.7479895,1018.921494,0.002948350392,0.0435502947421201,0.709809429215537,3.00413758625213,3.71394701546766
"7","Grill","[CYO Grill Component] Salmon Burger","Salmon Burger Patty","3.2 Oz",3.2,"Salmon","Animal-Sourced",4.118471057,393.241552,3068.815361,0.0907184736,0.373621407856819,35.674273353535,278.398245310153,314.072518663688
"8","Grill","[CYO Grill Component] Salmon Burger","Ithaca Bakery Large Roll [Butter Grilled Roll]","1 Roll",1.764,"Wheat Bread","Plant-Sourced",0.614982159,166.2343333,2030.208394,0.050008558572,0.0307543713190865,8.31313939351042,101.527795384715,109.840934778225
"9","Grill","[CYO Grill Component] Salmon Burger","Salted Butter [Butter Grilled Roll]","5/8 Teaspoon",0.104,"Butter","Animal-Sourced",14.7710716,240.7479895,1018.921494,0.002948350392,0.0435502947421201,0.709809429215537,3.00413758625213,3.71394701546766
"10","Grill","[CYO Grill Component] Impossible Burger","""Impossible Burger"" Patty [Patty ""Impossible Burger"" Trillium]","4 Oz",4,"Impossible Burger","Plant-Sourced",1.336365032,114.7995122,959.66826,0.113398092,0.151541244844319,13.0180456460107,108.82454963696,121.842595282971
"11","Grill","[CYO Grill Component] Impossible Burger","Ithaca Bakery Large Roll","1 Roll",1.764,"Wheat Bread","Plant-Sourced",0.614982159,166.2343333,2030.208394,0.050008558572,0.0307543713190865,8.31313939351042,101.527795384715,109.840934778225
"12","Grill","[CYO Grill Component] Impossible Burger","Daiya Vegan Sliced Cheddar","1 Slice",0.776,"Daiya Cheddar Slices","Plant-Sourced",1.300748805,87.38526266,362.9149706,0.021999229848,0.0286154719357063,1.92240847858519,7.98384985350956,9.90625833209476
"13","Grill","[CYO Grill Component] Toppings, Sauteed Onions","Whole Peeled Onion [Sauteed Onions, Assorted Burger Toppings]","2 Oz",2,"Onion","Produce",0.163327378,3.445388421,93.26026124,0.056699046,0.00926050651828139,0.195350236570146,5.28776784201878,5.48311807858892
"14","Grill","[CYO Grill Component] Toppings, Sauteed Onions","Canola Oil [Sauteed Onions, Assorted Burger Toppings]","1/8 Teaspoon",0.02,"Sunflower Oil (CAN)","Plant-Sourced",0.362596899,577.3210769,1834.98366,0.00056699046,0.000205588982558584,0.327335542959226,1.04041822947588,1.36775377243511
"15","Grill","[CYO Grill Component] Toppings, Sauteed Mushrooms","Canola Oil [Sauteed Mushrooms, Assorted Burger Toppings]","1/8 Teaspoon",0.02,"Sunflower Oil (CAN)","Plant-Sourced",0.362596899,577.3210769,1834.98366,0.00056699046,0.000205588982558584,0.327335542959226,1.04041822947588,1.36775377243511
"16","Grill","[CYO Grill Component] Toppings, Sauteed Mushrooms","Sliced Mushroom [Sauteed Mushrooms, Assorted Burger Toppings]","1.5 Oz",1.5,"Mushroom","Produce",0.168337212,77.51336953,14.8751836,0.0425242845,0.00715841949502481,3.29620057844735,0.632556539396134,3.92875711784349
"17","Grill","[CYO Grill Component] Toppings, Lettuce","Green Leaf Lettuce [Assorted Burger Toppings]","0.5 Fillet",1.27,"Lettuce","Produce",0.187016852,100.3410568,15.20559415,0.03600389421,0.00673333495489523,3.6126687939468,0.547460603176795,4.1601293971236
"18","Grill","[CYO Grill Component] Toppings, Tomato","Sliced Tomato [Assorted Burger Toppings] ","1 Slice",0.705,"Tomato","Produce",0.148809555,74.00099634,12.46777286,0.019986413715,0.00297416933097505,1.47901452817344,0.249186066484609,1.72820059465805
"19","Grill","[CYO Grill Component] Toppings, Red Onion","Sliced Red Onion [Assorted Burger Toppings]","0.5 Rings",0.332,"Onion","Produce",0.163327378,3.445388421,93.26026124,0.009412041636,0.00153724408203471,0.0324281392706443,0.877769461775117,0.910197601045761
"20","Grill","[CYO Grill Component] Toppings, American Cheese","Sliced White American Cheese [Assorted Burger Toppings]","1 Slice",1,"Cheddar","Animal-Sourced",9.182657693,147.8337876,564.0952481,0.028349523,0.26032396546883,4.19101736174331,15.9918312102017,20.182848571945
"21","Grill","[CYO Grill Component] Toppings, Cheddar Cheese","Sliced White Cheddar Cheese [Assorted Burger Toppings]","1 Slice",1,"Cheddar","Animal-Sourced",9.182657693,147.8337876,564.0952481,0.028349523,0.26032396546883,4.19101736174331,15.9918312102017,20.182848571945
"22","Grill","[CYO Grill Component] Toppings, Pepper Jack Cheese","Sliced Pepper Jack Cheese [Assorted Burger Toppings]","1 Slice",1,"Cheddar","Animal-Sourced",9.182657693,147.8337876,564.0952481,0.028349523,0.26032396546883,4.19101736174331,15.9918312102017,20.182848571945
"23","Grill","[CYO Grill Component] Toppings, Provolone Cheese","Sliced Provolone Cheese [Assorted Burger Toppings]","1 Slice",1,"Cheddar","Animal-Sourced",9.182657693,147.8337876,564.0952481,0.028349523,0.26032396546883,4.19101736174331,15.9918312102017,20.182848571945
"24","Grill","[CYO Grill Component] Toppings, Blue Cheese","Crumbled Blue Cheese [Assorted Burger Toppings]","3/4 Teaspoon",0.138,"Mozzarella","Animal-Sourced",8.117230313,129.45,489.0341868,0.003912234174,0.0317565058287473,0.5064387138243,1.91321625785326,2.41965497167756
"25","Grill","[CYO Grill Component] Toppings, Vegan Cheese","Daiya Vegan Sliced Cheddar [Assorted Burger Toppings] ","1 Slice",0.776,"Daiya Cheddar Slices","Plant-Sourced",1.300748805,87.38526266,362.9149706,0.021999229848,0.0286154719357063,1.92240847858519,7.98384985350956,9.90625833209476
"26","Grill","[CYO Grill Component] Chicken Tenders","Breaded Chicken Tender","8 Oz",8,"Chicken","Animal-Sourced",1.603195084,426.4459761,2698.938861,0.226796184,0.363598527258759,96.7163200616352,612.109034524107,708.825354585742
"27","Grill","[CYO Grill Component] Chicken Tenders","Canola Oil","1 1/4 Oz",1.25,"Sunflower Oil (CAN)","Plant-Sourced",0.362596899,577.3210769,1834.98366,0.03543690375,0.0128493114099115,20.4584714349516,65.0261393422427,85.4846107771944
"28","Grill","[CYO Grill Component] Fries","Seasoned Coated French Fries","4 Oz",4,"Potato Fries","Plant-Sourced",0.360150706,24.07424405,106.0381565,0.113398092,0.040840402892853,2.72997334161235,12.0245246262974,14.7544979679098
"29","Grill","[CYO Grill Component] Sweet Potato Fries","Sweet Potato Fries","4 Oz",4,"Sweet Potato Fries","Plant-Sourced",0.372626829,35.06430088,335.3619284,0.113398092,0.0422551714366103,3.97622481710592,38.0294028100006,42.0056276271065
"30","Grill","[CYO Grill Component] Black Bean Burger","Ithaca Bakery Large Roll [Butter Grilled Roll]","1 Roll",1.764,"Wheat Bread","Plant-Sourced",0.614982159,166.2343333,2030.208394,0.050008558572,0.0307543713190865,8.31313939351042,101.527795384715,109.840934778225
"31","Grill","[CYO Grill Component] Black Bean Burger","Salted Butter [Butter Grilled Roll]","5/8 Teaspoon",0.104,"Butter","Animal-Sourced",14.7710716,240.7479895,1018.921494,0.002948350392,0.0435502947421201,0.709809429215537,3.00413758625213,3.71394701546766
"32","Grill","[CYO Grill Component] Black Bean Burger","Gardein Black Bean Burger","1 Burger",4,"Beans","Plant-Sourced",0.167725361,342.2147321,1589.286208,0.113398092,0.0190197359174112,38.8064976744312,180.222023629115,219.028521303546
"33","Grill","[CYO Grill Component] Black Bean Burger","Vegalene Canola Pan Spray","1 Second Spray",0.03,"Sunflower Oil (CAN)","Plant-Sourced",0.362596899,577.3210769,1834.98366,0.00085048569,0.000308383473837875,0.49100331443884,1.56062734421383,2.05163065865267
"34","Grill","[CYO Grill Component] Black Bean Burger","Grean Leaf Lettuce","1 Leaf",1.27,"Lettuce","Produce",0.187016852,100.3410568,15.20559415,0.03600389421,0.00673333495489523,3.6126687939468,0.547460603176795,4.1601293971236
"35","Grill","[CYO Grill Component] Black Bean Burger","Sliced Tomato ","2 Slice",1.41,"Tomato","Produce",0.148809555,74.00099634,12.46777286,0.03997282743,0.00594833866195009,2.95802905634688,0.498372132969218,3.4564011893161
"36","Grill","[CYO Grill Component] Black Bean Burger","Sliced Red Onion","1 Oz",1,"Onion","Produce",0.163327378,3.445388421,93.26026124,0.028349523,0.00463025325914069,0.0976751182850732,2.64388392100939,2.74155903929446
"37","Grill","[CYO Grill Component] Bacon","Bacon Pork Raw","3 Slices",2.368,"Pork","Animal-Sourced",2.516219627,516.0109594,3235.765715,0.067131670464,0.168918026814813,34.6406776822533,217.222357678089,251.863035360343
"38","Ramen","[CYO Ramen Component] Chicken Bowl","Japanese Ramen Noodles [Ramen Noodles]","4 Oz",4,"Wheat Noodles","Plant-Sourced",0.903251118,187.3309544,2265.857582,0.113398092,0.102426953378067,21.242972801499,256.943926542534,278.186899344033
"39","Ramen","[CYO Ramen Component] Chicken Bowl","Fresh Peeled Garlic Gloves [Chicken Ramen Broth Trillium]","1 Tablespoon + 1 3/4 Teaspoon",0.529,"Onion","Produce",0.163327378,3.445388421,93.26026124,0.014996897667,0.00244940397408543,0.0516701375728037,1.39861459421397,1.45028473178677
"40","Ramen","[CYO Ramen Component] Chicken Bowl","Canola Oil [Chicken Ramen Broth Trillium]","1 Teaspoon",0.16,"Sunflower Oil (CAN)","Plant-Sourced",0.362596899,577.3210769,1834.98366,0.00453592368,0.00164471186046867,2.61868434367381,8.32334583580707,10.9420301794809
"41","Ramen","[CYO Ramen Component] Chicken Bowl","Chicken Thigh Meat Diced Fresh [Marinated Teriyaki Chicken for Ramen]","3 1/2 Oz",3.5,"Chicken","Animal-Sourced",1.603195084,426.4459761,2698.938861,0.0992233305,0.159074355675707,42.3133900269654,267.797702604297,310.111092631262
"42","Ramen","[CYO Ramen Component] Ginger Tare","Fresh Peeled Garlic Cloves [Spice Blend Tare Vegetarian]","1/4 Teaspoon",0.044,"Onion","Produce",0.163327378,3.445388421,93.26026124,0.001247379012,0.000203731143402191,0.00429770520454322,0.116330892524413,0.120628597728956
"43","Ramen","[CYO Ramen Component] Ginger Tare","Whole Peeled Onion [Spice Blend Tare Vegetarian]","1 Teaspoon",0.118,"Onion","Produce",0.163327378,3.445388421,93.26026124,0.003345243714,0.000546369884578602,0.0115256639576386,0.311978302679108,0.323503966636747
"44","Ramen","[CYO Ramen Component] Ginger Tare","Green Onion [Spice Blend Tare Vegetarian]","7/8 Teaspoon",0.064,"Onion","Produce",0.163327378,3.445388421,93.26026124,0.001814369472,0.000296336208585004,0.00625120757024468,0.169208570944601,0.175459778514846
"45","Ramen","[CYO Ramen Component] Chicken Bowl","Green Onion","1 Tablespoon",0.22,"Onion","Produce",0.163327378,3.445388421,93.26026124,0.00623689506,0.00101865571701095,0.0214885260227161,0.581654462622066,0.603142988644782
"46","Ramen","[CYO Ramen Component] Chicken Bowl","Frozen Kernel Corn","1 Tablespoon",0.364,"Sweet Corn","Produce",0.576710543,91.15218894,835.3303948,0.010319226372,0.00595120664433604,0.940620071975175,8.61996343935333,9.56058351132851
"47","Ramen","[CYO Ramen Component] Chicken Bowl","Napa Cabbage [Cabbage Sesame Salad]","2 Tablespoon + 2 1/2 Teaspoon",2.028,"Cabbage","Produce",0.185784608,57.55772559,88.0626301,0.057492832644,0.0106812833755751,3.30915668471515,5.06297005452978,8.37212673924492
"48","Ramen","[CYO Ramen Component] Chicken Bowl","Fresh Red Cabbage [Cabbage Sesame Salad]","1 1/2 Teaspoon",0.143,"Cabbage","Produce",0.185784608,57.55772559,88.0626301,0.004053981789,0.000753167417508504,0.233337971358119,0.357004298716843,0.590342270074963
"49","Ramen","[CYO Ramen Component] Chicken Bowl","Carrot Shredded [Cabbage Sesame Salad]","5/8 Teaspoon",0.02,"Carrot","Produce",0.19085407,72.86889966,16.45237347,0.00056699046,0.000108212436942172,0.0413159709379172,0.0093283388018471,0.0506443097397643
"50","Ramen","[CYO Ramen Component] Chicken Bowl","Sesame Oil [Dressing Asian Sesame Gf, Cabbage Sesame Salad]","1/2 Teaspoon",0.082,"Sesame Oil","Plant-Sourced",0.193986637,410.8363974,5852.308084,0.002324660886,0.00045095314744058,0.955055303580932,13.6046316956964,14.5596869992773
"51","Ramen","[CYO Ramen Component] Chicken Bowl","Canola Oil [Dressing Asian Sesame Gf, Cabbage Sesame Salad]","2 7/8 Teaspoon",0.461,"Sunflower Oil (CAN)","Plant-Sourced",0.362596899,577.3210769,1834.98366,0.013069130103,0.00473882604797535,7.54508426521017,23.9816401894191,31.5267244546293
"52","Ramen","[CYO Ramen Component] Chicken Bowl","Egg Whole Fresh Medium Flat [Egg Sous Vide]","1 Egg",1.764,"Eggs","Animal-Sourced",1.807454323,506.6106075,3446.675361,0.050008558572,0.0903881853779601,25.3348662383603,172.363266669238,197.698132907598
"53","Ramen","[CYO Ramen Component] Tofu Bowl","Ramen Noodle [Tokyo Ramen Noodle]","5 Oz",5,"Wheat Noodles","Plant-Sourced",0.903251118,187.3309544,2265.857582,0.141747615,0.128033691722584,26.5537160018738,321.179908178167,347.733624180041
"54","Ramen","[CYO Ramen Component] Tofu Bowl","Whole Peeled Onion [Vegetable Scraps For Stock, Gf Vegetable Soy Broth]","1 Oz",1,"Onion","Produce",0.163327378,3.445388421,93.26026124,0.028349523,0.00463025325914069,0.0976751182850732,2.64388392100939,2.74155903929446
"55","Ramen","[CYO Ramen Component] Tofu Bowl","Celery Stalk Whole Fresh [Vegetable Scraps For Stock, Gf Vegetable Soy Broth]","1 Oz",1,"Celery","Produce",0.176106256,78.46289178,15.06742742,0.028349523,0.00499252835491589,2.22438555516362,0.427154380194121,2.65153993535774
"56","Ramen","[CYO Ramen Component] Tofu Bowl","Sliced Mushroom [Vegetable Scraps For Stock, Gf Vegetable Soy Broth]","1 Oz",1,"Mushroom","Produce",0.168337212,77.51336953,14.8751836,0.028349523,0.00477227966334988,2.19746705229823,0.421704359597423,2.61917141189566
"57","Ramen","[CYO Ramen Component] Tofu Bowl","Zucchini Squash [Vegetable Scraps For Stock, Gf Vegetable Soy Broth]","1 Oz",1,"Squash","Produce",0.196778943,36.2682833,55.08741189,0.028349523,0.00557858917049419,1.02818853158387,1.56170185038603,2.58989038196989
"58","Ramen","[CYO Ramen Component] Tofu Bowl","Eggplant [Vegetable Scraps For Stock, Gf Vegetable Soy Broth]","1 Oz",1,"Eggplant","Produce",0.194127667,131.4643883,23.22035914,0.028349523,0.00550342676055284,3.72695269979178,0.65828610550769,4.38523880529947
"59","Ramen","[CYO Ramen Component] Tofu Bowl","Cauliflower [Vegetable Scraps For Stock, Gf Vegetable Soy Broth]","1 Oz",1,"Cauliflower","Produce",0.235412484,84.02323315,20.0860054,0.028349523,0.00667383162964513,2.38201858072029,0.569428672065424,2.95144725278571
